cliente_id,primeiro_nome,ultimo_nome,email,telefone,segmento_rfm,data_primeira_compra,data_ultima_compra,total_compras,lifetime_value,permite_email,permite_sms,permite_push,status_ativo,data_criacao
1,Henry Gabriel,Alves,henry gabriel.alves107@bol.com.br,(11) 900000001,regular,2025-08-30,2026-04-16,2,734.03,True,False,True,True,2025-07-08 00:00:00+00:00
2,Bento,Borges,bento.borges386@uol.com.br,(11) 900000002,dormant,2024-09-29,2024-09-29,1,132.53,True,False,False,True,2024-08-26 00:00:00+00:00
3,Manuela,Pastor,manuela.pastor976@bol.com.br,(11) 900000003,premium,2025-05-03,2026-06-05,19,10039.02,True,False,False,False,2025-02-25 00:00:00+00:00
4,Francisco,Garcia,francisco.garcia777@hotmail.com,,novo,,,0,0.0,True,False,False,True,2026-05-10 00:00:00+00:00
5,Elisa,Ferreira,elisa.ferreira932@bol.com.br,(11) 900000005,premium,2024-12-08,2026-06-08,8,6052.24,True,False,True,True,2025-03-22 00:00:00+00:00
6,Eloá,Oliveira,eloá.oliveira863@uol.com.br,(11) 900000006,regular,2025-09-24,2026-05-21,3,793.97,True,False,True,True,2025-03-05 00:00:00+00:00
7,Maria,Porto,maria.porto41@terra.com.br,(11) 900000007,regular,2026-03-24,2026-04-03,2,611.83,True,False,True,True,2025-05-28 00:00:00+00:00
8,Samuel,Castro,samuel.castro773@live.com,(51) 94835-0305,dormant,2025-12-05,2025-12-05,1,342.98,True,False,False,True,2025-02-21 00:00:00+00:00
9,Isadora,da Mata,isadora.damata684@hotmail.com,(11) 900000009,dormant,2024-09-27,2024-09-27,1,449.25,True,True,False,True,2025-07-01 00:00:00+00:00
10,João Lucas,,joão lucas.dacruz461@icloud.com,(11) 99696-5328,regular,2025-12-27,2026-06-26,4,1213.06,True,False,False,True,2025-02-24 00:00:00+00:00
11,Marina,Borges,marina.borges243@gmail.com,(11) 900000011,novo,,,0,0.0,True,False,False,True,2026-03-07 00:00:00+00:00
